Running from: /usr/share/jenkins/jenkins.war
2026-06-16 05:22:07.567+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Cancel:niua-org*nudmteam-ci
2026-06-16 05:22:07.567+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Read:niua-org*nudmteam-ci
2026-06-16 05:22:07.567+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Workspace:niua-org*nudmteam-ci
2026-06-16 05:22:07.567+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Overall/Read:niua-org*nudmteam-ci
2026-06-16 05:22:07.567+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Run/Replay:niua-org*nudmteam-ci
2026-06-16 05:22:07.567+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): View/Read:niua-org*nudmteam-ci
2026-06-16 05:22:07.567+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Agent/Build:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Build:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Cancel:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Read:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Workspace:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Overall/Read:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Run/Replay:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): View/Read:niua-org*nudmteam-qa
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Agent/Build:niua-org*nudmteam-auat
2026-06-16 05:22:07.568+0000 [id=39]	WARNING	o.j.p.m.AuthorizationContainer#add: Processing a permission assignment in the legacy format (without explicit TYPE prefix): Job/Build:niua-org*nudmteam-auat
